Deduped.author.names,Author.Keywords,Year
"Breslav, S.",ontology,2015
"Breslav, S.",genomics,2015
"Breslav, S.",phenomics,2015
"Breslav, S.",phenotype,2015
"Khan, A.",Clinical diagnosis,2015
"Khan, A.",differential hierarchy comparison,2015
"Khan, A.",ontology,2015
"Khan, A.",genomics,2015
"Khan, A.",phenomics,2015
"Khan, A.",phenotype,2015
"Wigdor, D.",Clinical diagnosis,2015
"Wigdor, D.",differential hierarchy comparison,2015
"Wigdor, D.",ontology,2015
"Wigdor, D.",genomics,2015
"Wigdor, D.",phenomics,2015
"Wigdor, D.",phenotype,2015
"Brudno, M.",Clinical diagnosis,2015
"Brudno, M.",differential hierarchy comparison,2015
"Brudno, M.",ontology,2015
"Brudno, M.",genomics,2015
"Brudno, M.",phenomics,2015
"Brudno, M.",phenotype,2015
"van den Elzen, S.",Dynamic Networks,2015
"van den Elzen, S.",Exploration,2015
"van den Elzen, S.",Dimensionality Reduction,2015
"Holten, D.",Dynamic Networks,2015
"Holten, D.",Exploration,2015
"Holten, D.",Dimensionality Reduction,2015
"Blaas, J.",Dynamic Networks,2015
"Blaas, J.",Exploration,2015
"Blaas, J.",Dimensionality Reduction,2015
"van Wijk, J.J.",Dynamic Networks,2015
"van Wijk, J.J.",Exploration,2015
"van Wijk, J.J.",Dimensionality Reduction,2015
"Nguyen, P.H.",Sensemaking,2015
"Nguyen, P.H.",analytic provenance,2015
"Nguyen, P.H.",transcription,2015
"Nguyen, P.H.",coding,2015
"Nguyen, P.H.",qualitative research,2015
"Nguyen, P.H.",timeline visualization,2015
Kai Xu,Sensemaking,2015
Kai Xu,analytic provenance,2015
Kai Xu,transcription,2015
Kai Xu,coding,2015
Kai Xu,qualitative research,2015
Kai Xu,timeline visualization,2015
"Wheat, A.",Sensemaking,2015
"Wheat, A.",analytic provenance,2015
"Wheat, A.",transcription,2015
"Wheat, A.",coding,2015
"Wheat, A.",qualitative research,2015
"Wheat, A.",timeline visualization,2015
"Wong, B.L.W.",Sensemaking,2015
"Wong, B.L.W.",analytic provenance,2015
"Wong, B.L.W.",transcription,2015
"Wong, B.L.W.",coding,2015
"Wong, B.L.W.",qualitative research,2015
"Wong, B.L.W.",timeline visualization,2015
"Attfield, S.",Sensemaking,2015
"Attfield, S.",analytic provenance,2015
"Attfield, S.",transcription,2015
"Attfield, S.",coding,2015
"Attfield, S.",qualitative research,2015
"Attfield, S.",timeline visualization,2015
"Fields, B.",Sensemaking,2015
"Fields, B.",analytic provenance,2015
"Fields, B.",transcription,2015
"Fields, B.",coding,2015
"Fields, B.",qualitative research,2015
"Fields, B.",timeline visualization,2015
"Rohlig, M.",Sensemaking,2015
"Rohlig, M.",analytic provenance,2015
"Rohlig, M.",transcription,2015
"Rohlig, M.",coding,2015
"Rohlig, M.",qualitative research,2015
"Rohlig, M.",timeline visualization,2015
"Luboschik, M.",Sensemaking,2015
"Luboschik, M.",analytic provenance,2015
"Luboschik, M.",transcription,2015
"Luboschik, M.",coding,2015
"Luboschik, M.",qualitative research,2015
"Luboschik, M.",timeline visualization,2015
"Kruger, F.",Sensemaking,2015
"Kruger, F.",analytic provenance,2015
"Kruger, F.",transcription,2015
"Kruger, F.",coding,2015
"Kruger, F.",qualitative research,2015
"Kruger, F.",timeline visualization,2015
"Kirste, T.",Sensemaking,2015
"Kirste, T.",analytic provenance,2015
"Kirste, T.",transcription,2015
"Kirste, T.",coding,2015
"Kirste, T.",qualitative research,2015
"Kirste, T.",timeline visualization,2015
"Schumann, H.",Sensemaking,2015
"Schumann, H.",analytic provenance,2015
"Schumann, H.",transcription,2015
"Schumann, H.",coding,2015
"Schumann, H.",qualitative research,2015
"Schumann, H.",timeline visualization,2015
"Bogl, M.",Sensemaking,2015
"Bogl, M.",analytic provenance,2015
"Bogl, M.",transcription,2015
"Bogl, M.",coding,2015
"Bogl, M.",qualitative research,2015
"Bogl, M.",timeline visualization,2015
"Alsallakh, B.",Sensemaking,2015
"Alsallakh, B.",analytic provenance,2015
"Alsallakh, B.",transcription,2015
"Alsallakh, B.",coding,2015
"Alsallakh, B.",qualitative research,2015
"Alsallakh, B.",timeline visualization,2015
"Miksch, S.",Sensemaking,2015
"Miksch, S.",analytic provenance,2015
"Miksch, S.",transcription,2015
"Miksch, S.",coding,2015
"Miksch, S.",qualitative research,2015
"Miksch, S.",timeline visualization,2015
"Krause, J.",Visual temporal queries,2015
"Krause, J.",cohort definition,2015
"Krause, J.",electronic medical records,2015
"Krause, J.",information visualization,2015
"Perer, A.",Visual temporal queries,2015
"Perer, A.",cohort definition,2015
"Perer, A.",electronic medical records,2015
"Perer, A.",information visualization,2015
"Stavropoulos, H.",Visual temporal queries,2015
"Stavropoulos, H.",cohort definition,2015
"Stavropoulos, H.",electronic medical records,2015
"Stavropoulos, H.",information visualization,2015
Nan Cao,Anomaly Detection,2015
Nan Cao,Social Media,2015
Nan Cao,Visual Analysis,2015
Conglei Shi,Anomaly Detection,2015
Conglei Shi,Social Media,2015
Conglei Shi,Visual Analysis,2015
"Lin, S.",Anomaly Detection,2015
"Lin, S.",Social Media,2015
"Lin, S.",Visual Analysis,2015
Jie Lu,Anomaly Detection,2015
Jie Lu,Social Media,2015
Jie Lu,Visual Analysis,2015
Yu-Ru Lin,Anomaly Detection,2015
Yu-Ru Lin,Social Media,2015
Yu-Ru Lin,Visual Analysis,2015
Ching-Yung Lin,Anomaly Detection,2015
Ching-Yung Lin,Social Media,2015
Ching-Yung Lin,Visual Analysis,2015
"Alexander, E.",Text visualization,2015
